U+5EC8	廈
U+5ECF	廏
U+5ED0	廐
U+5EDA	廚
U+5EE0	廠
U+5EE2	廢
U+5EE8	廨
U+5EE9	廩
U+5EF4	廴
U+5EFC	廼
U+5F09	弉
U+5F0B	弋
U+5F0C	弌
U+5F0D	弍
U+5F11	弑
U+5F16	弖
U+5F17	弗
U+5F29	弩
U+5F2D	弭
U+5F3C	弼
U+5F4A	彊
U+5F51	彑
U+5F5D	彝
U+5F61	彡
U+5F6D	彭
U+5F73	彳
U+5F7F	彿
U+5F88	很
U+5F91	徑
U+5F99	徙
U+5FA8	徨
U+5FAD	徭
U+5FD6	忖
U+5FDD	忝
U+5FF0	忰
U+5FF8	忸
U+5FFB	忻
U+5FFF	忿
U+600E	怎
U+600F	怏
U+6019	怙
U+6021	怡
U+6029	怩
U+602B	怫
U+6031	怱
U+603A	怺
U+6041	恁
U+6043	恃
U+6059	恙
U+605A	恚
U+605F	恟
U+6060	恠
U+6064	恤
U+606A	恪
U+606B	恫
U+606C	恬
U+6083	悃
U+6084	悄
U+608B	悋
U+6092	悒
U+6096	悖
U+609A	悚
U+609B	悛
U+60A7	悧
U+60B4	悴
U+60B5	悵
U+60BD	悽
U+60D8	惘
U+60F1	惱
U+60F6	惶
U+60F7	惷
U+60FB	惻
U+610D	愍
U+610E	愎
U+6121	愡
U+6127	愧
U+612C	愬
U+6134	愴
U+613E	愾
U+6142	慂
U+6147	慇
U+614A	慊
U+6159	慙
U+615A	慚
U+615F	慟
U+6165	慥
U+616B	慫
U+6173	慳
U+6174	慴
U+6177	慷
U+617E	慾
U+618A	憊
U+6194	憔
U+6196	憖
U+61AE	憮
U+61BA	憺
U+61C3	懃
U+61C8	懈
U+61CA	懊
U+61E3	懣
U+61E6	懦
U+61F6	懶
U+61FD	懽
U+61FE	懾
U+61FF	懿
U+6200	戀
U+6208	戈
U+620E	戎
U+6214	戔
U+621B	戛
U+621E	戞
U+6248	扈
U+625B	扛
U+625E	扞
U+6260	扠
U+6263	扣
U+6268	扨
U+627C	扼
U+6283	抃
U+6293	抓
U+6294	抔
U+629B	抛
U+62C6	拆
U+62C7	拇
U+62C8	拈
U+62CC	拌
U+62CF	拏
U+62F1	拱
U+62F5	拵
U+6302	挂
U+6308	挈
U+630C	挌
U+633E	挾
U+634D	捍
U+6350	捐
U+6369	捩
U+6389	掉
U+638F	掏
U+6396	掖
U+63A3	掣
U+63A9	掩
U+63D2	插
U+63D6	揖
U+63E3	揣
U+640F	搏
U+6417	搗
U+6426	搦
U+6428	搨
U+6436	搶
U+6467	摧
U+6476	摶
U+6478	摸
U+6488	撈
U+6493	撓
U+64A9	撩
U+64BB	撻
U+64BC	撼
U+64C2	擂
U+64C5	擅
U+64D2	擒
U+64D8	擘
U+64DA	據
U+64E0	擠
U+64E1	擡
U+64E3	擣
U+64EF	擯
U+64F1	擱
U+64F2	擲
U+64FA	擺
U+64FD	擽
U+652B	攫
U+652C	攬
U+6534	攴
U+6535	攵
U+6537	攷
U+6548	效
U+655D	敝
U+6578	數
U+6582	斂
U+659B	斛
U+659F	斟
U+65AB	斫
U+65B7	斷
U+65C1	旁
U+65C3	旃
U+65C6	旆
U+65CC	旌
U+65D2	旒
U+65DB	旛
U+65E0	无
U+6635	昵
U+6664	晤
U+6667	晧
U+66B9	暹
U+66DA	曚
U+66E9	曩
U+6703	會
U+671E	朞
U+672E	朮
U+6736	朶
U+6746	杆
U+6759	杙
U+675E	杞
U+6760	杠
U+6762	杢
U+676A	杪
U+6773	杳
U+677C	杼
U+6789	枉
U+678B	枋
U+67B3	枳
U+67B7	枷
U+67B8	枸
U+67B9	枹
